Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
1,9057188.000,10,10,5160,5160,516.000,0.000,516.000,0.000,1139.426,2.208,834405.800,408358.887,971865.875,338894.863,990354.333,414464.736,1.104,1.104,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,5160,10,5160,0.000,1.000
1,247.000,1,1,60,60,60.000,0.000,60.000,0.000,485829.960,8097.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4048.583,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,19189115.000,20,20,2080,2080,104.000,0.000,104.000,0.000,216.790,2.085,931073.925,441846.771,1002996.833,404082.568,1009948.105,463002.454,1.049,1.042,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,20,2080,19,1976,0.000,1.000
1,28052.000,1,1,60,60,60.000,0.000,60.000,0.000,4277.770,71.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.648,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,1,60,0.000,1.000
1,29159085.000,30,30,1800,1800,60.000,0.000,60.000,0.000,123.461,2.058,954931.567,270720.983,1004889.964,256994.007,1005481.897,274442.849,1.030,1.029,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,29,1740,0.000,1.000
1,89.000,1,1,60,60,60.000,0.000,60.000,0.000,1348314.607,22471.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11235.955,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,9058348.000,10,10,600,600,60.000,0.000,60.000,0.000,132.474,2.208,855926.750,298469.246,1007532.500,262468.999,1006475.000,252861.169,1.104,1.104,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,584417.000,1,1,60,60,60.000,0.000,60.000,0.000,205.333,3.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.711,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,1,60,0.000,1.000
1,18974658.000,20,19,2080,1976,104.000,0.000,104.000,0.000,213.759,2.055,949874.385,422033.162,1003926.000,377717.469,1054135.167,446946.984,1.054,1.001,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,20,2080,18,1872,0.000,1.000
1,9032980.000,10,10,600,600,60.000,0.000,60.000,0.000,132.847,2.214,856283.200,352363.154,1011625.125,323748.945,1003629.222,313362.209,1.110,1.107,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,69.000,1,1,60,60,60.000,0.000,60.000,0.000,1739130.435,28985.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14492.754,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,1386.000,1,1,60,60,60.000,0.000,60.000,0.000,86580.087,1443.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.501,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,-0.001,1.001
1,8721686.000,10,10,600,600,60.000,0.000,60.000,0.000,137.588,2.293,848463.000,401774.727,1030984.125,69093.239,969043.000,506472.694,1.150,1.147,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,91.000,1,1,60,60,60.000,0.000,60.000,0.000,1318681.319,21978.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10989.011,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,74.000,1,1,60,60,60.000,0.000,60.000,0.000,1621621.622,27027.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13513.514,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,3229858.000,5,5,300,300,60.000,0.000,60.000,0.000,185.767,3.096,620908.800,591411.968,1005372.000,455736.161,798243.000,560371.514,1.582,1.548,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,5,300,0.000,1.000
